idSensor,date,time,value
hum_sensor_4,07/11/2024,10:43,84
temp_sensor_4,07/11/2024,10:43,27
photo_sensor_7,07/11/2024,10:43,624
ir_sensor_5,07/11/2024,10:43,489
hum_sensor_4,07/11/2024,10:43,46
temp_sensor_4,07/11/2024,10:43,29
photo_sensor_7,07/11/2024,10:44,577
ir_sensor_5,07/11/2024,10:44,225
hum_sensor_4,07/11/2024,10:44,24
temp_sensor_4,07/11/2024,10:44,95
photo_sensor_7,07/11/2024,10:44,574
ir_sensor_5,07/11/2024,10:44,769
hum_sensor_4,07/11/2024,10:44,14
temp_sensor_4,07/11/2024,10:44,67
photo_sensor_7,07/11/2024,10:45,490
ir_sensor_5,07/11/2024,10:45,732
hum_sensor_4,07/11/2024,10:45,43
temp_sensor_4,07/11/2024,10:45,50
photo_sensor_7,07/11/2024,10:45,911
ir_sensor_5,07/11/2024,10:45,56
hum_sensor_4,07/11/2024,10:45,76
temp_sensor_4,07/11/2024,10:45,78
photo_sensor_7,07/11/2024,10:46,748
ir_sensor_5,07/11/2024,10:46,176
hum_sensor_4,07/11/2024,10:46,3
temp_sensor_4,07/11/2024,10:46,51
photo_sensor_7,07/11/2024,10:46,562
ir_sensor_5,07/11/2024,10:46,175
hum_sensor_4,07/11/2024,10:46,32
temp_sensor_4,07/11/2024,10:46,60
photo_sensor_7,07/11/2024,10:47,492
ir_sensor_5,07/11/2024,10:47,792
hum_sensor_4,07/11/2024,10:47,39
temp_sensor_4,07/11/2024,10:47,12
photo_sensor_7,07/11/2024,10:47,258
ir_sensor_5,07/11/2024,10:47,26
hum_sensor_4,07/11/2024,10:47,94
temp_sensor_4,07/11/2024,10:47,39
photo_sensor_7,07/11/2024,10:48,251
ir_sensor_5,07/11/2024,10:48,762
hum_sensor_4,07/11/2024,10:48,34
temp_sensor_4,07/11/2024,10:48,78
photo_sensor_7,07/11/2024,10:48,507
ir_sensor_5,07/11/2024,10:48,297
hum_sensor_4,07/11/2024,10:48,97
temp_sensor_4,07/11/2024,10:48,2
photo_sensor_7,07/11/2024,10:49,5
ir_sensor_5,07/11/2024,10:49,316
hum_sensor_4,07/11/2024,10:49,52
temp_sensor_4,07/11/2024,10:49,56
photo_sensor_7,07/11/2024,10:49,373
ir_sensor_5,07/11/2024,10:49,984
hum_sensor_4,07/11/2024,10:49,86
temp_sensor_4,07/11/2024,10:49,41
photo_sensor_7,07/11/2024,10:50,137
ir_sensor_5,07/11/2024,10:50,505
hum_sensor_4,07/11/2024,10:50,44
temp_sensor_4,07/11/2024,10:50,19
photo_sensor_7,07/11/2024,10:50,680
ir_sensor_5,07/11/2024,10:50,153
hum_sensor_4,07/11/2024,10:50,31
temp_sensor_4,07/11/2024,10:50,17
photo_sensor_7,07/11/2024,10:51,945
ir_sensor_5,07/11/2024,10:51,491
hum_sensor_4,07/11/2024,10:51,81
temp_sensor_4,07/11/2024,10:51,75
photo_sensor_7,07/11/2024,10:51,359
ir_sensor_5,07/11/2024,10:51,966
hum_sensor_4,07/11/2024,10:51,77
temp_sensor_4,07/11/2024,10:51,15
photo_sensor_7,07/11/2024,10:52,81
ir_sensor_5,07/11/2024,10:52,255
hum_sensor_4,07/11/2024,10:52,86
temp_sensor_4,07/11/2024,10:52,92
photo_sensor_7,07/11/2024,10:52,809
ir_sensor_5,07/11/2024,10:52,205
hum_sensor_4,07/11/2024,10:52,62
temp_sensor_4,07/11/2024,10:52,27
photo_sensor_7,07/11/2024,10:53,498
ir_sensor_5,07/11/2024,10:53,763
hum_sensor_4,07/11/2024,10:53,63
temp_sensor_4,07/11/2024,10:53,26
photo_sensor_7,07/11/2024,10:53,124
ir_sensor_5,07/11/2024,10:53,706
hum_sensor_4,07/11/2024,10:53,72
temp_sensor_4,07/11/2024,10:53,36
photo_sensor_7,07/11/2024,10:54,795
ir_sensor_5,07/11/2024,10:54,488
hum_sensor_4,07/11/2024,10:54,67
temp_sensor_4,07/11/2024,10:54,29
photo_sensor_7,07/11/2024,10:54,886
ir_sensor_5,07/11/2024,10:54,346
hum_sensor_4,07/11/2024,10:54,62
temp_sensor_4,07/11/2024,10:54,23
photo_sensor_7,07/11/2024,10:55,563
ir_sensor_5,07/11/2024,10:55,927
hum_sensor_4,07/11/2024,10:55,29
temp_sensor_4,07/11/2024,10:55,2
photo_sensor_7,07/11/2024,10:55,870
ir_sensor_5,07/11/2024,10:55,306
hum_sensor_4,07/11/2024,10:55,69
temp_sensor_4,07/11/2024,10:55,67
photo_sensor_7,07/11/2024,10:56,561
ir_sensor_5,07/11/2024,10:56,88
hum_sensor_4,07/11/2024,10:56,11
temp_sensor_4,07/11/2024,10:56,42
photo_sensor_7,07/11/2024,10:56,293
ir_sensor_5,07/11/2024,10:56,349
hum_sensor_4,07/11/2024,10:56,21
temp_sensor_4,07/11/2024,10:56,19
photo_sensor_7,07/11/2024,10:57,88
ir_sensor_5,07/11/2024,10:57,745
hum_sensor_4,07/11/2024,10:57,98
temp_sensor_4,07/11/2024,10:57,24
photo_sensor_7,07/11/2024,10:57,427
ir_sensor_5,07/11/2024,10:57,178
hum_sensor_4,07/11/2024,10:57,13
temp_sensor_4,07/11/2024,10:57,26
photo_sensor_7,07/11/2024,10:58,667
ir_sensor_5,07/11/2024,10:58,692
hum_sensor_4,07/11/2024,10:58,56
temp_sensor_4,07/11/2024,10:58,73
photo_sensor_7,07/11/2024,10:58,14
ir_sensor_5,07/11/2024,10:58,386
hum_sensor_4,07/11/2024,10:58,96
temp_sensor_4,07/11/2024,10:58,81
photo_sensor_7,07/11/2024,10:59,289
ir_sensor_5,07/11/2024,10:59,317
hum_sensor_4,07/11/2024,10:59,84
temp_sensor_4,07/11/2024,10:59,27
photo_sensor_7,07/11/2024,10:59,624
ir_sensor_5,07/11/2024,10:59,489
hum_sensor_4,07/11/2024,10:59,46
temp_sensor_4,07/11/2024,10:59,29
